通知人,标题,日期,详情链接,附件名,附件下载次数,附件链接码
【教材中心】,关于组织申报2026年度教育部大中小学课程教材研究项目的通知,2026-04-24,https://jwch.fzu.edu.cn/info/1042/14599.htm,附件1.教育部办公厅关于组织申报2026年度教育部大中小学课程教材研究项目的通知.pdf; 附件2.教育部大中小学课程教材研究项目2026年度重大项目和重点项目选题指南.doc; 附件3.操作指南（申报人）.pdf; 附件4.教育部大中小学课程教材研究项目2026年度申报书（仅供查看）.docx; 附件5.2026年度教育部大中小学课程教材研究项目推荐汇总表.xlsx,191; 215; 176; 208; 158,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18250479; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18250480; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18250481; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18250482; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18250483
【实践科】,关于举办2026年福州大学第十届智能测绘大赛的通知,2026-04-21,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14596,无附件,0,无
【质量办】,关于举办福州大学第八十一场“教学有道”研讨活动的通知,2026-04-21,https://jwch.fzu.edu.cn/info/1040/14594.htm,无附件,0,无
【实践科】,关于组织参加2026年第十八届“中国电机工程学会杯”全国大学生电工数学建模竞赛的通知,2026-04-20,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14593,无附件,0,无
【实践科】,关于举办2026年福州大学第十六届大学生节能减排社会实践与科技竞赛暨第十二届材料创新、设计及应用竞赛的通知,2026-04-20,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14592,无附件,0,无
【实践科】,关于做好2024年、2025年本科生科研训练计划项目结题工作的通知,2026-04-16,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14588,无附件,0,无
【教学运行】,关于2026届预计毕业生补拍电子注册学历照片的通知,2026-04-16,https://jwch.fzu.edu.cn/info/1036/14590.htm,附件2：证件照拍摄要求.pdf; 附件1：行政北楼平面图.pdf; 附件3：获得图像采集码途径.pdf,206; 150; 215,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18248487; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18248486; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18248488
【实践科】,关于举办2026年福州大学第七届大学生机器人竞赛的通知,2026-04-15,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14585,无附件,0,无
【质量办】,关于开展2026届本科毕业生在校学习体验调研的通知,2026-04-15,https://jwch.fzu.edu.cn/info/1040/14586.htm,附件.docx,116,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18248189
【教材中心】,关于举办2026年福建省高校教材联合巡展的通知,2026-04-14,https://jwch.fzu.edu.cn/info/1042/14584.htm,无附件,0,无
【质量办】,关于开展2026年度教师本科教学综合测评工作的通知,2026-04-14,https://jwch.fzu.edu.cn/info/1040/14583.htm,附件1-7.docx; 福大教〔2016〕2号 福州大学关于印发教师本科教学综合测评办法试行的通知.doc,180; 111,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18247979; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18247978
【教学运行】,关于2027届预计毕业生核对电子注册学历信息的通知,2026-04-10,https://jwch.fzu.edu.cn/info/1036/14582.htm,无附件,0,无
【教材中心】,关于组织开展2026年人工智能赋能课程教材研究课题申报工作的通知,2026-04-08,https://jwch.fzu.edu.cn/info/1042/14580.htm,附件1.选题指南.pdf; 附件2.2026年人工智能赋能课程教材研究课题申报书.docx; 附件3.2026年人工智能赋能课程教材研究课题申报汇总表.docx,179; 164; 160,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18246537; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18246538; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18246539
【教学通知】,关于组织开展2026年人工智能赋能课程教材研究课题申报工作的通知,2026-04-08,https://jwch.fzu.edu.cn/info/1012/14579.htm,附件1.选题指南.pdf; 附件2.2026年人工智能赋能课程教材研究课题申报书.docx; 附件3.2026年人工智能赋能课程教材研究课题申报汇总表.docx,124; 105; 103,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18246534; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18246535; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18246536
【实践科】,关于举办2026年中国大学生计算机设计大赛福州大学校内选拔赛的通知,2026-04-07,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14577,无附件,0,无
【质量办】,关于开展2025年新上岗教师课堂授课达标考核的通知,2026-04-07,https://jwch.fzu.edu.cn/info/1040/14576.htm,附件1：2025年福州大学新上岗教师达标培训班名单.xlsx; 附件2：2025年新上岗教师课堂授课达标考核情况汇总表---需一式三份报教评中心.docx,677; 416,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18245977; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18245978
【电教中心】,关于开展“AI辅助教学、助力课堂创新”智慧教学第七期培训的通知,2026-04-07,https://jwch.fzu.edu.cn/info/1041/14574.htm,无附件,0,无
【教学运行】,关于2025-2026学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程半期考试安排的通知,2026-04-07,https://jwch.fzu.edu.cn/info/1036/14573.htm,2502高数半期考-4.26上午.xlsx,415,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18245841
【教学运行】,关于2025-2026学年第二学期《概率论与数理统计》课程半期考试安排的通知,2026-04-07,https://jwch.fzu.edu.cn/info/1036/14571.htm,2502概率论半期考-4.19下午.xlsx,256,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18245801
【实践科】,关于做好“全国大学生实习公共服务平台”数据报送工作的通知,2026-03-30,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14563,无附件,0,无
【教学运行】,关于2026年清明节放假课程调整的通知,2026-03-30,https://jwch.fzu.edu.cn/info/1036/14562.htm,无附件,0,无
